institution,total,total_men,total_women,total_amind,men_amind,women_amind,total_asian,men_asian,women_asian,total_black,men_black,women_black,total_hisp,men_hisp,women_hisp,total_hapac,men_hapac,women_hapac,total_white,men_white,women_white,total_twoplus,men_twoplus,women_twoplus,total_unk,men_unk,women_unk,total_alien,men_alien,women_alien,sector,degree_status,level,hbcu,tribal,p_admit_total,p_admit_men,p_admit_women,sat_math_25,sat_math_75,act_math_25,act_math_75,out_tuition,in_tuition,total_eng,men_eng,women_eng,amind_eng,amind_men_eng,amind_women_eng,asian_eng,asian_men_eng,asian_women_eng,black_eng,black_men_eng,black_women_eng,hisp_eng,hisp_men_eng,hisp_women_eng,hapac_eng,hapac_men_eng,hapac_women_eng,white_eng,white_men_eng,white_women_eng,twoplus_eng,twoplus_men_eng,twoplus_women_eng,unk_eng,unk_men_eng,unk_women_eng,alien_eng,alien_men_eng,alien_women_eng,total_bio,men_bio,women_bio,amind_bio,amind_men_bio,amind_women_bio,asian_bio,asian_men_bio,asian_women_bio,black_bio,black_men_bio,black_women_bio,hisp_bio,hisp_men_bio,hisp_women_bio,hapac_bio,hapac_men_bio,hapac_women_bio,white_bio,white_men_bio,white_women_bio,unk_bio,unk_men_bio,unk_women_bio,twoplus_bio,twoplus_men_bio,twoplus_women_bio,alien_bio,alien_men_bio,alien_women_bio,total_math,men_math,women_math,amind_math,amind_men_math,amind_women_math,asian_math,asian_men_math,asian_women_math,black_math,black_men_math,black_women_math,hisp_math,hisp_men_math,hisp_women_math,hapac_math,hapac_men_math,hapac_women_math,white_math,white_men_math,white_women_math,twoplus_math,twoplus_men_math,twoplus_women_math,unk_math,unk_men_math,unk_women_math,alien_math,alien_men_math,alien_women_math,total_phys,men_phys,women_phys,amind_phys,amind_men_phys,amind_women_phys,asian_phys,asian_men_phys,asian_women_phys,black_phys,black_men_phys,black_women_phys,hisp_phys,hisp_men_phys,hisp_women_phys,hapac_phys,hapac_men_phys,hapac_women_phys,white_phys,white_men_phys,white_women_phys,twoplus_phys,twoplus_men_phys,twoplus_women_phys,unk_phys,unk_men_phys,unk_women_phys,alien_phys,alien_men_phys,alien_women_phys
Argosy University-The Art Institute of California-Los Angeles,1436,831,605,2,1,1,24,15,9,47,21,26,558,332,226,6,5,1,91,44,47,14,9,5,694,404,290,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,18748,18748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argosy University-The Art Institute of California-Orange County,1417,754,663,6,4,2,114,66,48,35,17,18,561,301,260,13,8,5,234,120,114,41,24,17,410,214,196,3,0,3,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,18748,18748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argosy University-The Art Institute of California-Sacramento,993,561,432,2,2,0,30,17,13,37,21,16,258,144,114,7,3,4,211,116,95,16,9,7,431,248,183,1,1,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,18748,18748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argosy University-The Art Institute of California-San Diego,1634,888,746,2,0,2,10,5,5,6,3,3,564,293,271,2,0,2,15,7,8,0,0,0,1034,579,455,1,1,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,18748,18748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argosy University-The Art Institute of California-Silicon Valley,436,233,203,4,4,0,76,41,35,19,10,9,172,85,87,10,7,3,97,52,45,0,0,0,58,34,24,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,18748,18748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona Christian University,737,406,331,7,4,3,18,10,8,55,47,8,114,70,44,5,4,1,448,224,224,34,17,17,43,21,22,13,9,4,2,1,1,2,2,57,55,59,420,540,18,25,22466,22466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,22,20,0,0,0,1,0,1,3,2,1,11,5,6,0,0,0,20,12,8,5,2,3,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona College - Las Vegas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona College-Mesa,336,45,291,50,5,45,5,1,4,29,3,26,119,15,104,3,0,3,123,19,104,5,2,3,2,0,2,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,15223,15223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas Baptist College,899,601,298,0,0,0,1,1,0,847,559,288,6,6,0,0,0,0,37,29,8,0,0,0,0,0,0,8,6,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,8040,8040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens State University,3128,1082,2046,48,14,34,17,3,14,396,124,272,63,26,37,3,1,2,2423,854,1569,54,17,37,107,37,70,17,6,11,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,29,39,1,0,1,3,0,3,5,1,4,2,2,0,0,0,0,52,23,29,3,2,1,1,0,1,1,1,0,75,29,46,1,1,0,1,0,1,5,3,2,0,0,0,0,0,0,65,24,41,1,1,0,2,0,2,0,0,0,11,3,8,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,0,0,0
Atlanta Metropolitan State College,2977,987,1990,3,2,1,21,9,12,2747,906,1841,51,17,34,7,3,4,54,19,35,55,14,41,17,5,12,22,12,10,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,8984,3058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,11,22,1,1,0,0,0,0,27,8,19,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,5,2,3,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Augustana College,2497,1048,1449,4,4,0,48,16,32,103,49,54,236,90,146,2,2,0,1885,791,1094,92,35,57,48,23,25,79,38,41,2,1,1,2,2,54,53,54,NA,NA,NA,NA,37236,37236,29,25,4,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,22,19,3,1,1,0,0,0,0,3,3,0,380,131,249,2,2,0,10,2,8,9,3,6,34,13,21,1,1,0,294,101,193,22,5,17,6,3,3,2,1,1,52,35,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,41,29,12,0,0,0,5,2,3,5,3,2,56,35,21,0,0,0,1,1,0,3,2,1,3,2,1,0,0,0,43,27,16,4,2,2,1,1,0,1,0,1
Aultman College of Nursing and Health Sciences,358,45,313,3,0,3,2,1,1,16,2,14,2,0,2,0,0,0,314,40,274,10,2,8,11,0,11,0,0,0,2,1,1,2,2,75,NA,75,NA,NA,17,27,19263,19263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacone College,968,612,356,245,111,134,27,18,9,309,237,72,85,63,22,5,1,4,181,101,80,28,19,9,88,62,26,0,0,0,2,1,1,2,2,43,45,40,385,470,15,19,14050,14050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bainbridge State College,2470,725,1745,5,4,1,9,4,5,1268,310,958,80,33,47,2,1,1,1058,363,695,25,1,24,19,7,12,4,2,2,4,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,9100,3174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bais HaMedrash and Mesivta of Baltimore,59,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,57,57,0,0,0,0,0,0,0,1,1,0,2,1,1,2,2,96,96,NA,NA,NA,NA,NA,12250,12250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bais Medrash Toras Chesed,111,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,0,0,0,0,0,0,0,2,2,0,2,1,1,2,2,48,48,NA,NA,NA,NA,NA,8800,8800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker College,3726,1380,2346,17,8,9,20,8,12,735,221,514,80,30,50,7,3,4,2706,1045,1661,123,43,80,38,22,16,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,8280,8280,111,96,15,1,0,1,1,1,0,9,8,1,3,2,1,1,1,0,90,79,11,4,3,1,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker College of Allen Park,3372,850,2522,10,0,10,37,15,22,1055,237,818,229,51,178,5,2,3,1926,522,1404,110,23,87,0,0,0,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,8280,8280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker College of Auburn Hills,2703,751,1952,14,1,13,57,21,36,395,105,290,92,30,62,19,5,14,2055,568,1487,71,21,50,0,0,0,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,8280,8280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker College of Cadillac,1340,392,948,7,2,5,4,1,3,4,4,0,17,3,14,0,0,0,1288,375,913,14,2,12,6,5,1,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,8280,8280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker College of Clinton Township,3625,1118,2507,13,6,7,58,28,30,948,222,726,60,28,32,15,7,8,2419,793,1626,92,25,67,20,9,11,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,8280,8280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker College of Jackson,1937,529,1408,6,1,5,9,3,6,132,41,91,41,15,26,8,4,4,1683,452,1231,48,9,39,10,4,6,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,8280,8280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker College of Muskegon,3481,1014,2467,13,2,11,24,9,15,359,120,239,163,45,118,6,0,6,2740,793,1947,174,45,129,2,0,2,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,8280,8280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker College of Owosso,2512,1046,1466,10,7,3,15,4,11,74,38,36,53,26,27,2,0,2,2296,952,1344,62,19,43,0,0,0,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,8280,8280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker College of Port Huron,798,237,561,2,0,2,1,1,0,22,6,16,12,5,7,0,0,0,737,214,523,19,7,12,5,4,1,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,8280,8280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baptist Health System School of Health Professions,500,101,399,3,0,3,17,6,11,24,2,22,219,46,173,5,1,4,214,37,177,12,5,7,6,4,2,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,101,399,3,0,3,17,6,11,24,2,22,219,46,173,5,1,4,214,37,177,12,5,7,6,4,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baptist Memorial College of Health Sciences,1170,103,1067,0,0,0,22,1,21,497,31,466,23,1,22,0,0,0,604,68,536,3,0,3,21,2,19,0,0,0,2,1,1,2,2,54,55,54,NA,NA,22,24,10412,10412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,5,33,0,0,0,1,0,1,16,1,15,1,0,1,0,0,0,18,4,14,2,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
